,a11,a12,a21,a22,mu1,si1,mu2,si2
2020-01-02,0.9599974235227126,0.0400025764772879,0.08749699777833596,0.9125030022216649,1.2589676387815458,0.2814604445694077,0.9828776784070642,0.20335443249948415
2020-01-03,0.9684596383825534,0.03154036161745298,0.10453295000744708,0.8954670499925552,1.280186222102531,0.2792076113580448,0.9528494656788873,0.19560791979724682
2020-01-06,0.9824677928743085,0.0175322071257078,0.08665856257155634,0.9133414374284592,1.2701172461880141,0.25632364420275544,0.9627989680615139,0.20162339631832282
2020-01-07,0.9098622263712136,0.09013777362878557,0.0869863046501442,0.9130136953498653,1.393480806123772,0.31470442673554727,1.0625068968943243,0.22878567746647838
2020-01-08,0.9896623979523815,0.01033760204762495,0.058988275933368,0.9410117240666418,1.2777621220419788,0.2541764190413778,0.9475895757978279,0.1964580831236943
2020-01-09,0.8667697167238106,0.1332302832761847,0.07944394435878972,0.9205560556411929,1.3658123478987894,0.3091617409672657,1.0777957335566426,0.21911014521543826
2020-01-10,0.7513468927159195,0.24865310728408416,0.0017074584937397717,0.9982925415062776,1.742106197641407,0.6293053150877459,1.1904021668870592,0.27028325109814433
2020-01-13,0.8875681522487205,0.11243184775127699,0.0963878174684129,0.9036121825315971,1.3227075814007374,0.3654909807591431,0.9374318517203175,0.20343071352561448
2020-01-14,0.9745723484961546,0.025427651503852313,0.06540584310965394,0.9345941568903527,1.2130400468792093,0.24811677129756085,0.9513339087530512,0.19725167349486394
2020-01-15,0.5887385094345918,0.41126149056541256,0.039774926405780266,0.9602250735942246,1.5269091489702908,0.318295069064582,1.1426066499409404,0.224189359351238
2020-01-16,0.6480624920019286,0.35193750799806556,0.0062548414700766075,0.9937451585299198,1.5463782185630583,0.4395527205563852,1.1432801909889312,0.24118305134086532
2020-01-17,0.8439463178371052,0.15605368216289897,0.09848868764398394,0.9015113123560189,1.374833696259042,0.35436392722384863,1.0665688861305522,0.23745447960379043
2020-01-21,0.14390011331192656,0.8560998866880671,0.13550202390423172,0.8644979760957647,1.5220081041524731,0.14972642443190876,1.1287129494933956,0.19157669966920374
2020-01-22,0.6312749682950415,0.36872503170495824,0.03423682375395513,0.9657631762460528,1.698983235538922,0.27966811295595473,1.1677130759203385,0.2499008926461125
2020-01-23,0.9759040293714427,0.024095970628568785,0.09397664347907221,0.9060233565209409,1.2306388925424645,0.2588628851368815,0.930758434477118,0.17742741147260557
2020-01-24,0.7826544731954562,0.2173455268045411,0.006394255185648063,0.9936057448143439,1.5645696359175074,0.446398808772606,1.181901280177905,0.23540001423530837
2020-01-27,0.579637836655803,0.4203621633441959,0.01451446828547829,0.9854855317145218,1.584971956298272,0.5912446710973368,1.12688068210937,0.2181649132468618
2020-01-28,0.4896655474983644,0.5103344525016353,0.02163190339325726,0.9783680966067443,1.7455134409940012,0.2054168025477058,1.2066501373371274,0.22291578161792353
2020-01-29,0.8356535960645041,0.16434640393549618,0.02649779054552466,0.9735022094544765,1.4551195461254842,0.6329164767106252,1.0603186739614339,0.24930602044472353
2020-01-30,0.7024245503099994,0.29757544969000244,0.0029716953471961914,0.9970283046528122,1.9640261104099666,0.8019323863966004,1.1791352205509482,0.22767241802280205
