,a11,a12,a21,a22,mu1,si1,mu2,si2
2020-01-02,0.8846866147521762,0.11531338524782107,0.13191528915644887,0.8680847108435372,0.6397843328797435,0.21697457273138282,1.0177334658043866,0.3072356358956695
2020-01-03,0.8982569104945985,0.10174308950538972,0.1520258685982186,0.8479741314017656,0.5820457847678951,0.2115631474897449,0.9835285328519758,0.2885720236187072
2020-01-06,0.8812622695451056,0.1187377304548847,0.12328821251806221,0.8767117874819181,0.6472730240217462,0.21365169668577352,1.0113325496954182,0.29251886625851936
2020-01-07,0.8833552950649911,0.11664470493501816,0.16092924725111588,0.8390707527488825,0.5579110629668538,0.20847275653732314,0.9957378531464259,0.3103041825942749
2020-01-08,0.8828918217452945,0.11710817825471159,0.036578442570391154,0.9634215574296211,0.7240559848744094,0.24568388407461766,1.1252931110001398,0.3229095369251825
2020-01-09,0.882215052864003,0.11778494713599302,0.14968569455943148,0.8503143054405744,0.595613284719424,0.19769873009990202,0.9618107021097659,0.2772381396843599
2020-01-10,0.8762408272735273,0.12375917272646768,0.22433148222494956,0.7756685177750479,0.5877398192358901,0.18385872196462708,0.9786072281705279,0.27827078721035753
2020-01-13,0.9420666259900689,0.05793337400993587,0.030672865677605896,0.9693271343223988,0.6190042628568784,0.23990647808264676,1.0234466297549147,0.3203986679494795
2020-01-14,0.9383648217304873,0.0616351782695116,0.032440582484280854,0.9675594175157369,0.7345826887205046,0.24008410806101513,1.124473965533599,0.30914647143526525
2020-01-15,0.7768919002203849,0.22310809977961812,0.0763766134527452,0.9236233865472536,0.7059860546499374,0.20670275998493606,1.0018408715436538,0.2968658447656068
2020-01-16,0.8242826974724007,0.17571730252759454,0.2026359681186937,0.7973640318813042,0.6300491424971693,0.16951762461487993,0.929218367348858,0.2736803924001075
2020-01-17,0.9153820271812564,0.084617972818735,0.23811508236074766,0.7618849176392402,0.5038312774893949,0.17329224058357434,0.8932275933037133,0.30103293381008434
2020-01-21,0.830578134114179,0.16942186588583316,0.04437454680591984,0.9556254531940811,0.7578123583721669,0.2143948417975688,1.0784819012485833,0.30848402868501534
2020-01-22,0.8444432452784251,0.15555675472156902,0.07850329638888202,0.921496703611112,0.69329896179006,0.23608577297380856,1.008841497628736,0.2955538255002356
2020-01-23,0.8699456286030979,0.13005437139690804,0.11157141641117066,0.8884285835888269,0.657429928067586,0.2081113694366597,1.0153334582634588,0.28481499503582436
2020-01-24,0.9336669806281339,0.0663330193718712,0.0316428536759863,0.9683571463240165,0.7128638532092832,0.20429735095645152,1.0081516056381976,0.28176738743144614
2020-01-27,0.9764200509926741,0.023579949007322333,0.09006632216223583,0.909933677837763,0.7147822303521241,0.19449944231561847,1.0503425831497932,0.2488888724038585
2020-01-28,0.6673958193729352,0.332604180627068,0.08471061770050549,0.9152893822994806,0.6871189862837468,0.18933114537443543,0.9680790367996451,0.2984977871394067
2020-01-29,0.639234498531197,0.36076550146880315,0.04153827548056218,0.9584617245194385,0.6750887850559668,0.23387366993796477,1.5221449473746116,0.7805596450894994
2020-01-30,0.8409668814107084,0.15903311858929872,0.0506708192197617,0.9493291807802414,0.7089377520627472,0.1959992523956776,0.9245728807891275,0.30097608478701665
