,a11,a12,a21,a22,mu1,sigma1,mu2,sigma2,p_val
2020-01-02,0.8681085083647172,0.13189149163528274,0.11531096029478187,0.8846890397052181,0.6398042563003092,0.047084645427756706,1.0177441256379844,0.09439686926367802,0.0
2020-01-03,0.05204046397035462,0.9479595360296454,0.9170483561761392,0.08295164382386079,0.8224541660715948,0.10646947485425301,0.8225234585389318,0.10662237479873958,0.9994
2020-01-06,0.8767131113981729,0.12328688860182711,0.11873466861173898,0.881265331388261,0.6472735889344139,0.0456487660146463,1.0113293191467796,0.0855692947780923,0.0
2020-01-07,0.8390980613512042,0.16090193864879576,0.1166462584258654,0.8833537415741346,0.5579367688508503,0.04346865973146518,0.9957528794660375,0.09629093791632104,0.0
2020-01-08,0.8828921207703565,0.11710787922964362,0.036577752518095294,0.9634222474819047,0.7240573597544819,0.06036200300387827,1.1252937126510616,0.1042749158899992,0.0002
2020-01-09,0.8503396369330273,0.14966036306697275,0.11778383072023169,0.8822161692797682,0.5956331529419147,0.039090590546965384,0.9618207997655537,0.07686328936844157,0.0
2020-01-10,0.7756854469451384,0.22431455305486162,0.12374976010969235,0.8762502398903076,0.5877465700186292,0.03380803534390643,0.9786034839602874,0.0774373017104102,0.0
2020-01-13,0.9693281851955158,0.030671814804484224,0.057932691222592286,0.9420673087774076,0.6190065097765538,0.057557517586545384,1.023448329994805,0.10265923121482202,0.0
2020-01-14,0.9383672488985259,0.061632751101474245,0.0324384280076086,0.9675615719923913,0.7345854840636507,0.05764208155143295,1.124475529432746,0.0955742059054466,0.0
2020-01-15,0.7769285725372523,0.22307142746274758,0.07634634056900359,0.9236536594309964,0.7060002119572608,0.04273064227405181,1.0018504262364079,0.0881397418505653,0.0008
2020-01-16,0.7974252311961296,0.20257476880387046,0.1757286702704908,0.8242713297295092,0.6300824879670502,0.028745710281442637,0.9292403962662379,0.07490616566099938,0.0
2020-01-17,0.9153741610678986,0.08462583893210138,0.23807696727108296,0.761923032728917,0.5038674014327913,0.030041084999855742,0.893240584051743,0.09062302717370026,0.0
2020-01-21,0.9556264644664686,0.04437353553353154,0.16942747781050507,0.830572522189495,0.7578145718897804,0.04596662794627089,1.0784876579325653,0.09516723540630107,0.0
2020-01-22,0.9214936932728298,0.07850630672717018,0.15555430041940557,0.8444456995805946,0.6932972467069057,0.055737300915964634,1.0088335485139137,0.08735517657304381,0.0
2020-01-23,0.8884599781283453,0.11154002187165478,0.1300429154397726,0.8699570845602275,0.6574514395502051,0.043317009556909314,1.0153456452819363,0.0811232809830623,0.0
2020-01-24,0.9336660218927777,0.06633397810722237,0.031642542987094596,0.9683574570129054,0.7128652251250225,0.041738491735262506,1.0081535842613778,0.0793948393851999,0.0002
2020-01-27,0.976422141383786,0.023577858616213913,0.09006441062552047,0.9099355893744796,0.7147863900224103,0.03783440681006612,1.05034463141944,0.061962611127193444,0.0
2020-01-28,0.9152861496739179,0.08471385032608225,0.3326328530246255,0.6673671469753745,0.6871211547554068,0.03584777902431192,0.9680812792701586,0.0891073338575399,0.0
2020-01-29,0.9584747003184709,0.04152529968152904,0.3607788606519897,0.6392211393480102,0.675097745140131,0.05471926920498336,1.522334119520421,0.6094413953964559,0.0
2020-01-30,0.9493322636043825,0.05066773639561755,0.1590599169172944,0.8409400830827056,0.7089424573914778,0.03841824677314742,0.9245955849470852,0.09059220851976804,0.0
