,a11,a12,a21,a22,mu1,sigma1,mu2,sigma2,p_val
2020-01-02,0.9297103642413349,0.07028963575866509,0.12388919238320859,0.8761108076167913,1.0543290846062374,0.05061162026429991,1.2963492313427545,0.08579575445075044,0.0052
2020-01-03,0.8684512925614154,0.13154870743858463,0.030687448878217723,0.9693125511217824,0.9731174788865669,0.041338655041626406,1.265035081482026,0.073317932285018,0.0
2020-01-06,0.9748808624279853,0.025119137572014612,0.11811883316407959,0.8818811668359204,1.0252011974549402,0.04345372936944717,1.2935323365309028,0.07496220231796961,0.0004
2020-01-07,0.9383198337153913,0.06168016628460882,0.13135495365108155,0.8686450463489184,1.0207801748214758,0.04393583454564954,1.2990725389686968,0.08521102002427883,0.0012
2020-01-08,0.9908896690966132,0.00911033090338675,0.12193964809561074,0.8780603519043892,0.9444638782231576,0.04059785716930305,1.2894461338957108,0.07013486002421367,0.0
2020-01-09,0.8867135996748805,0.11328640032511952,0.04942175072746186,0.9505782492725382,1.0070769871014942,0.036663652275795586,1.2512003726464838,0.0716326622315584,0.0
2020-01-10,0.8485246188644925,0.15147538113550751,0.04312940059563891,0.956870599404361,1.0143535615045773,0.04349767109464015,1.2917093769990757,0.07632340169490807,0.0
2020-01-13,0.9897821699528522,0.010217830047147896,0.026348929449964444,0.9736510705500356,0.8624866879979659,0.029552283531368535,1.18328311265117,0.07306468372885136,0.0
2020-01-14,0.9338576551645241,0.06614234483547583,0.04892404988923382,0.9510759501107662,1.080746462248253,0.0457643505237903,1.306976400683152,0.07721624350752149,0.0
2020-01-15,0.9852845328966372,0.014715467103362766,0.05193321788944335,0.9480667821105566,1.0799399155201488,0.042116423021959656,1.2326360019431517,0.05254152710211189,0.0042
2020-01-16,0.9252545394959523,0.0747454605040477,0.1346599709709199,0.86534002902908,1.0197385307386702,0.03840414924894435,1.2507158146651594,0.07385659635413329,0.002
2020-01-17,0.8814053356651735,0.11859466433482634,0.08076106679961835,0.9192389332003816,1.0211261292183575,0.04784124199620625,1.2615890294033547,0.0982608836167719,0.0
2020-01-21,0.9866949991742978,0.013305000825702167,0.579934371791803,0.42006562820819704,1.2414382963203003,0.05841829163841078,1.7318370823321652,0.11793628117464511,0.0
2020-01-22,0.9925843515157399,0.007415648484260127,0.005990028070562968,0.9940099719294371,1.1771074292375487,0.08142203054964174,1.2711984516342243,0.050972644297983226,0.2524
2020-01-23,0.9563631476269435,0.04363685237305653,0.13145242477687186,0.8685475752231281,0.996950938998105,0.04024798016376826,1.2490474684423445,0.07544769736931128,0.001
2020-01-24,0.9331136661794992,0.06688633382050077,0.014122578883777572,0.9858774211162225,1.0250530252973429,0.03683301076682052,1.2532673236267913,0.04598143812869099,0.0
2020-01-27,0.5827195232839648,0.4172804767160352,1.0,4.031708778693722e-54,1.0986119220245054,1.2565791966049085e-05,1.224840652271706,0.05658185998997019,0.0258
2020-01-28,0.483760846726806,0.516239153273194,1.0,1.5670925116243028e-78,1.098612288668115,3.596726285321061e-06,1.3031669040879186,0.07034159495445749,0.0036
2020-01-29,0.9861465176472722,0.013853482352727826,0.05079031836946435,0.9492096816305357,1.0649111635526662,0.05299558037681378,1.3398243126836549,0.5636362184179357,0.0548
2020-01-30,0.9688542483987046,0.0311457516012954,0.04477497419092601,0.955225025809074,1.1746091422645828,0.07154561002846188,1.2140659354595247,0.02777916285596566,0.2194
